Human.Gene	Mouse.Gene	Gene.Type	Cell.Type	Tissue.of.Origin	Reference	Added.By	Added.Date	Comments
AGT	Agt	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
ALDH2	Aldh2	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
ALOX5	Alox5	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
ALOX5AP	Alox5ap	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
ARPC5	Arpc5	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
ASAH1	Asah1	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
ATP2A3	Atp2a3	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
AVIL	Avil	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
BCL2L14	Bcl2l14	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
BMX	Bmx	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
BPGM	Bpgm	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
BUB3	Bub3	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
CARD19	Card19	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
MCUB	Ccdc109b	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
CCDC28B	Ccdc28b	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
CD24	Cd24a	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
CD47	Cd47	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
COPRS	Coprs	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
CSK	Csk	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
DCLK1	Dclk1	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
ETHE1	Ethe1	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
								
FAM221A	Fam221a	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
								
FFAR3	Ffar3	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
FYB1	Fyb	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
GALK1	Galk1	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
GGA2	Gga2	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
								
								
								
GIMAP1	Gimap1	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
GNAI2	Gnai2	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
GNG13	Gng13	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
GPRC5C	Gprc5c	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
HCK	Hck	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
HMX2	Hmx2	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
HPGDS	Hpgds	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
								
IL13RA1	Il13ra1	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
ILDR1	Ildr1	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
INPP5B	Inpp5b	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
								
INPP5D	Inpp5d	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
INPP5J	Inpp5j	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
ITPR2	Itpr2	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
								
KCTD12	Kctd12	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
KRT18	Krt18	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
								
								
KRT23	Krt23	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
LECT2	Lect2	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
								
								
								
LIMA1	Lima1	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
LIMD2	Limd2	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
LRMP	Lrmp	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
LTC4S	Ltc4s	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
LY6G6D	Ly6g6d	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
LY6G6F	Ly6g6f	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
MATK	Matk	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
MLIP	Mlip	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
MOCS2	Mocs2	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
MYO1B	Myo1b	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
NDUFAF3	Ndufaf3	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
NEBL	Nebl	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
NT5C3A	Nt5c3	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
PEA15	Pea15a	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
PIK3CG	Pik3cg	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
PIK3R5	Pik3r5	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
PIM3	Pim3	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
PLAAT3	Pla2g16	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Pla2g4a		Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Plcg2		Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Pou2f3		Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Ppp3ca		Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Ptgs1		Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Ptpn18		Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Ptpn6		Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Pygl		Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Rac2		Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Rbm38		Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Reep5		Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Rgs13		Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
								
	Rgs2		Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
								
	Sec14l1		Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Sh2d7		Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Siglecf		Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Skap2		Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Smpx		Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Snrnp25		Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Spib		Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
SVBP	Svbp	Protein Coding	Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Tmem141		Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Tmem176a		Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Tmem176b		Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Tmem45b		Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Tmem9		Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
								
	Trpm5		Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Tspan6		Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Tuba1a		Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Vav1		Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Vdac3		Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
	Zfp428		Tuft	Intestine	Haber et al, Nature, 2017 (PMID: 30089906)	Monica Hannani	2020-02-11	From Theis Lab, Munich
AQP6	Aqp6	Protein Coding	A cell (intercalated)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
DMRT2	Dmrt2	Protein Coding	A cell (intercalated)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
P2RY14	P2ry14	Protein Coding	A cell (intercalated)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
	Slc4a1		A cell (intercalated)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
CD19	Cd19	Protein Coding	B cell	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
CD79A	Cd79a	Protein Coding	B cell	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
								
								
CD79B	Cd79b	Protein Coding	B cell	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
CD22	Cd22	Protein Coding	B cell (follicular)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
CD38	Cd38	Protein Coding	B cell (follicular)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
FCER2	Fcer2a	Protein Coding	B cell (follicular)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
PAX5	Pax5	Protein Coding	B cell (follicular)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
PTPRC	Ptprc	Protein Coding	B cell (follicular)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
AP1S3	Ap1s3	Protein Coding	B cell (intercalated)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
INSRR	Insrr	Protein Coding	B cell (intercalated)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
								
	Slc26a4		B cell (intercalated)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
CD38	Cd38	Protein Coding	B cell (memory)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
CD80	Cd80	Protein Coding	B cell (memory)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
CD84	Cd84	Protein Coding	B cell (memory)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
CD86	Cd86	Protein Coding	B cell (memory)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
NT5E	Nt5e	Protein Coding	B cell (memory)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
PAX5	Pax5	Protein Coding	B cell (memory)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
PTPRC	Ptprc	Protein Coding	B cell (memory)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
	Spib		B cell (memory)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
CCR3	Ccr3	Protein Coding	Basophil	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
CD33	Cd33	Protein Coding	Basophil	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
CD44	Cd44	Protein Coding	Basophil	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
CD69	Cd69	Protein Coding	Basophil	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
IL3RA	Il3ra	Protein Coding	Basophil	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
ACER2	Acer2	Protein Coding	Collecting duct principal cell	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
AQP2	Aqp2	Protein Coding	Collecting duct principal cell	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
AQP3	Aqp3	Protein Coding	Collecting duct principal cell	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
AQP4	Aqp4	Protein Coding	Collecting duct principal cell	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
								
								
AVPR2	Avpr2	Protein Coding	Collecting duct principal cell	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
FXYD4	Fxyd4	Protein Coding	Collecting duct principal cell	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
FZD1	Fzd1	Protein Coding	Collecting duct principal cell	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
GATA3	Gata3	Protein Coding	Collecting duct principal cell	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
LGALS3	Lgals3	Protein Coding	Collecting duct principal cell	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
	Ptges		Collecting duct principal cell	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
								
	Stc1		Collecting duct principal cell	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
	Tmem45b		Collecting duct principal cell	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
	Tspan1		Collecting duct principal cell	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
CALB1	Calb1	Protein Coding	Connecting tubule	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
CCL20	Ccl20	Protein Coding	Connecting tubule	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
NA	Defb9	Protein Coding	Connecting tubule	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
FAM89A	Fam89a	Protein Coding	Connecting tubule	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
	Stap1		Connecting tubule	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
								
	Trpv5		Connecting tubule	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
								
ADGRE1	Adgre1	Protein Coding	Dendritic cell	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
CCL17	Ccl17	Protein Coding	Dendritic cell	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
CD14	Cd14	Protein Coding	Dendritic cell	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
CD207	Cd207	Protein Coding	Dendritic cell	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
NA	Cd209a	Protein Coding	Dendritic cell	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
CD8A	Cd8a	Protein Coding	Dendritic cell	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
CX3CR1	Cx3cr1	Protein Coding	Dendritic cell	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
NA	H2-Ab1	Protein Coding	Dendritic cell	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
NA	H2-Eb1	Protein Coding	Dendritic cell	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
ITGAE	Itgae	Protein Coding	Dendritic cell	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
								
								
ITGAM	Itgam	Protein Coding	Dendritic cell	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
ITGAX	Itgax	Protein Coding	Dendritic cell	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
LY75	Ly75	Protein Coding	Dendritic cell	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
PDCD1LG2	Pdcd1lg2	Protein Coding	Dendritic cell	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
PTPRC	Ptprc	Protein Coding	Dendritic cell	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
	Sirpa		Dendritic cell	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
CDC42EP3	Cdc42ep3	Protein Coding	Distal convoluted tubule	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
NA	Clec4a3	Protein Coding	Distal convoluted tubule	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
								
FETUB	Fetub	Protein Coding	Distal convoluted tubule	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
GFRA1	Gfra1	Protein Coding	Distal convoluted tubule	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
KCNG1	Kcng1	Protein Coding	Distal convoluted tubule	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
MLANA	Mlana	Protein Coding	Distal convoluted tubule	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
PCOLCE	Pcolce	Protein Coding	Distal convoluted tubule	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
	Plekho1		Distal convoluted tubule	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
								
	Sgca		Distal convoluted tubule	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
	Slc12a3		Distal convoluted tubule	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
ADGRL4	Adgrl4	Protein Coding	Endothelial	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
EMCN	Emcn	Protein Coding	Endothelial	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
ENG	Eng	Protein Coding	Endothelial	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
ETS1	Ets1	Protein Coding	Endothelial	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
								
KDR	Kdr	Protein Coding	Endothelial	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
PECAM1	Pecam1	Protein Coding	Endothelial	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
	Plac8		Endothelial	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
	Plvap		Endothelial	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
	Tek		Endothelial	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
	Tspan8		Endothelial	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
								
CD34	Cd34	Protein Coding	Endothelial (fenestrated)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
								
PECAM1	Pecam1	Protein Coding	Endothelial (fenestrated)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
	Plvap		Endothelial (fenestrated)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
CD34	Cd34	Protein Coding	Endothelial (lymphatic)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
PDPN	Pdpn	Protein Coding	Endothelial (lymphatic)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
PECAM1	Pecam1	Protein Coding	Endothelial (lymphatic)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
PROX1	Prox1	Protein Coding	Endothelial (lymphatic)	Kidney	Clark et al, Kidney Int, 2019 (PMID: 30826016)	Mingbo Chen	2020-02-13	
