HGNC.symbol	MGI.symbol
619	SYNPO2	Synpo2
620	PCK2	Pck2
621	DKK2	Dkk2
622	ACTR3	Actr3
623	OASL	Oasl1
624	PSMB3	Psmb3
625	ITGA5	Itga5
626	PHKA2	Phka2
627	MAPK10	Mapk10
628	ITGA4	Itga4
629	OVCA2	Ovca2
630	RBM15	Rbm15
631	AKT1	Akt1
632	THEMIS2	Themis2
633	NFKB1	Nfkb1
634	NR1D1	Nr1d1
635	RGS18	Rgs18
636	BHLHE40	Bhlhe40
637	ATF2	Atf2
638	TTC39A	Ttc39a
639	SLC6A13	Slc6a13
640	TSR2	Tsr2
641	BAHD1	Bahd1
642	TF	Trf
643	LRRC66	Lrrc66
644	SCN1A	Scn1a
645	STAT2	Stat2
646	PAK1	Pak1
647	ITGB3BP	Itgb3bp
648	EPSTI1	Epsti1
649	TNFRSF1B	Tnfrsf1b
650	HSD17B14	Hsd17b14
651	VAV1	Vav1
652	NR0B2	Nr0b2
653	MAPKAPK2	Mapkapk2
654	OTUD3	Otud3
655	CHRNA5	Chrna5
656	SENP3-EIF4A1	Senp3
657	LPA	Gm6619
658	LPA	5430401F13Rik
659	PARP1	Parp1
660	FBXL14	Fbxl14
661	PAK6	Pak6
662	PLA2G2A	Pla2g2a
663	FGFBP1	Fgfbp1
664	NHLH1	Nhlh1
665	CMTM8	Cmtm8
666	ITGB7	Itgb7
667	CCDC17	Ccdc17
668	RASGRF1	Rasgrf1
669	MEGF6	Megf6
670	RAB17	Rab17
671	PTCH2	Ptch2
672	MST1R	Mst1r
673	AOC2	Aoc2
674	DIABLO	Diablo
675	PSMB7	Psmb7
676	MYO7A	Myo7a
677	RPA1	Rpa1
678	ALOXE3	Aloxe3
679	LCT	Lct
680	SLC39A1	Slc39a1
681	EVC2	Evc2
682	LSR	Lsr
683	UBE3A	Ube3a
684	PAK3	Pak3
685	DNAJA4	Dnaja4
686	WIF1	Wif1
687	CRYAB	Cryab
688	DHDH	Gm45808
689	DHDH	Dhdh
690	TRADD	Tradd
691	DDN	Ddn
692	UBA7	Uba7
693	HUNK	Hunk
694	ZNF687	Zfp687
695	ARHGAP33	Arhgap33
696	STAT6	Stat6
697	CELF6	Celf6
698	TERF2IP	Terf2ip
699	WBP1	Wbp1
700	OPN3	Opn3
701	JAK1	Jak1
702	NR2C2	Nr2c2
703	EIF4E	Eif4e
704	ZBTB37	Zbtb37
705	CEBPA	Cebpa
706	TRPV3	Trpv3
707	ITGA6	Itga6
708	SUCLA2	Sucla2
709	FBXW4	Fbxw4
710	EXOSC1	Exosc1
711	TLN2	Tln2
712	ITGA2	Itga2
713	MAP1B	Map1b
714	YWHAE	Ywhae
715	GAST	Gast
716	MKNK1	Mknk1
717	SLC6A12	Slc6a12
718	PTPN11	Ptpn11
719	SHC1	Shc1
720	TEC	Tec
721	MAP2K3	Map2k3
722	STAT3	Stat3
723	CCL2	Ccl2
724	NCS1	Ncs1
725	GNA11	Gna11
726	MXD1	Mxd1
727	TNFRSF1A	Tnfrsf1a
728	PPP1R13B	Ppp1r13b
729	HIVEP3	Hivep3
730	PGM1	Pgm1
731	SCN7A	Scn7a
732	BCL2	Bcl2
733	CTRL	Ctrl
734	KCNJ9	Kcnj9
735	AMH	Amh
736	PDE6H	Pde6h
737	IRF9	Irf9
738	NEB	Neb
739	NFKBIE	Nfkbie
740	ITGA10	Gm42957
741	ITGA10	Itga10
742	CACNA1G	Cacna1g
743	DAG1	Dag1
744	ABCC2	Abcc2
745	OVGP1	Ovgp1
746	IDH2	Idh2
747	PLD2	Pld2
748	MAPK8IP2	Mapk8ip2
749	RAP1A	Rap1a
750	ADCYAP1	Adcyap1
751	CS	Csl
752	CS	Cs
753	TRAF6	Traf6
754	FBXW10	Fbxw10
755	CXCL10	Cxcl10
756	AOC3	Aoc3
757	CHI3L1	Chil1
758	FKBP4	Fkbp4
759	NXT2	Nxt2
760	SLC35E2B	Slc35e2
761	NFATC3	Nfatc3
762	RPA2	Rpa2
763	IL13RA2	Il13ra2
764	PHETA1	Pheta1
765	MESP1	Mesp1
766	CLEC18B	Clec18a
767	GPR35	Gpr35
768	IFI16	Ifi206
769	IFI16	Ifi209
770	IFI16	Ifi207
771	IFI16	Ifi204
772	IFI16	Ifi203
773	IFI16	Ifi202b
774	PIN1	Pin1rt1
775	RUFY4	Rufy4
776	PTPN6	Ptpn6
777	F2RL2	F2rl2
778	KIAA0895L	4931428F04Rik
779	HSPA1A	Hspa1b
780	HSPA1A	Hspa1a
781	PKDCC	Pkdcc
782	AKT3	Akt3
783	ENDOU	Endou
784	SOAT1	Soat1
785	PSMB2	Psmb2
786	PHEX	Phex
787	GBP5	Gbp5
788	PIK3CB	Pik3cb
789	CGN	Cgn
790	PDE6D	Pde6d
791	RGS2	Rgs2
792	PTPRU	Ptpru
793	F2RL1	F2rl1
794	CISD2	Cisd2
795	PPM1H	Ppm1h
796	MAPKAPK5	Gm42878
797	MAPKAPK5	Mapkapk5
798	F2	F2
799	IFNAR1	Ifnar1
800	SLC25A29	Slc25a29
801	ATF1	Atf1
802	TRAF3	Traf3
803	MAP2K5	Map2k5
804	RASSF10	Rassf10
805	CYP26B1	Cyp26b1
806	TPI1	Tpi1
807	PFN1	Pfn1
808	CYTL1	Cytl1
809	RAPGEF3	Rapgef3
810	DRD2	Drd2
811	KLF5	Klf5
812	S100A9	Gm5849
813	ITGA1	Itga1
814	DNHD1	Dnhd1
815	MKNK2	Mknk2
816	REG1A	Reg2
817	REG1A	Reg1
818	SYNE4	Syne4
819	INPP5D	Inpp5d
820	CCL4	Ccl4
821	CSK	Csk
822	SMPD1	Smpd1
823	NAA16	Naa16
824	GPRASP1	Gprasp1
825	SSUH2	Ssu2
826	INHBB	Inhbb
827	RALBP1	Ralbp1
828	MYEF2	Myef2
829	TENT5B	Tent5b
830	SLC25A34	Slc25a34
831	IER5	Ier5
832	EGR4	Egr4
833	SFN	Sfn
834	TULP2	Tulp2
835	EREG	Ereg
836	MAPK7	Mapk7
837	TAS1R3	Tas1r3
838	ZC3H12A	Zc3h12a
839	RASGRP1	Rasgrp1
840	POLD1	Pold1
841	PIAS1	Pias1
842	PSMA5	Psma5
843	MRPL42	Mrpl42
844	IFI44	Ifi44
845	STC1	Stc1
846	GAB1	Gab1
847	IFNG	Ifng
848	KCNJ14	Kcnj14
849	PPP1R15A	Ppp1r15a
850	HERPUD1	Herpud1
851	SPDYA	Spdya
852	HOXC9	Hoxc9
853	NFKBIL1	Nfkbil1
854	ANGPTL2	Angptl2
855	MYH3	Myh3
856	CCL3	Ccl3
857	GPRC5A	Gprc5a
858	ADRB1	Adrb1
859	PLCG2	Plcg2
860	HSPA1L	Hspa1l
861	PTAFR	Ptafr
862	EPHB2	Ephb2
863	DTYMK	Dtymk
864	MX1	Mx1
865	MX1	Mx2
866	EEF2K	Eef2k
867	MAPK8IP1	Mapk8ip1
868	FIBIN	Fibin
869	CENPE	Cenpe
870	CFAP43	Cfap43
871	CISH	Cish
872	ITPKB	Itpkb
873	HSD11B1	Hsd11b1
874	MVP	Mvp
875	ATP2A1	Atp2a1
876	ORAI2	Orai2
877	RBFOX3	Rbfox3
878	FADD	Fadd
879	LAT2	Lat2
880	DUSP10	Dusp10
881	MRC2	Mrc2
882	MAPK3	Mapk3
883	SNORD48	Gm25744
884	TBC1D16	Tbc1d16
885	CENPF	Cenpf
886	CD19	Cd19
887	C20orf204	Gm29797
888	TSC22D4	Tsc22d4
889	GNA13	Gna13
890	SRC	Src
891	SNORD104	Snord104
892	SUSD4	Susd4
893	NCF1	Ncf1
894	DOCK1	Dock1
895	TRIM56	Trim56
896	COL26A1	Col26a1
897	ZFAND2A	Zfand2a
898	CD46	Cd46
899	CYTH3	Cyth3
900	PLCB4	Plcb4
901	PLCB1	Plcb1
902	RAC1	Rac1
903	MAP2K6	Map2k6
904	SLC5A11	Slc5a11
905	YWHAG	Ywhag
906	P4HB	P4hb
907	CTNNB1	Ctnnb1
908	YWHAB	Ywhab
909	GRB2	Grb2
910	CHCHD2	Chchd2
911	TUBB1	Tubb1
912	SRP9	Srp9
913	FAM20C	Fam20c
914	TUFM	Tufm
915	ITGA2B	Itga2b
916	MAP3K3	Map3k3
917	LAT	Lat
918	HCAR3	Hcar2
919	MYLK2	Mylk2
920	CDK2AP1	Cdk2ap1
921	MAFG	Mafg
922	CSRNP1	Csrnp1
923	RPN2	Rpn2
924	DUSP8	Dusp8
925	ENGASE	Engase
926	BAG3	Bag3
927	CCDC62	Ccdc62
928	PVRIG	Pvrig
929	AXIN2	Axin2
930	PLCG1	Plcg1
931	PSMA7	Psma7
932	PDE6G	Pde6g
933	XIRP1	Xirp1
934	IL4R	Il4ra
935	PAK5	Pak5
936	HSPB1	Hspb1
937	PTPRA	Ptpra
938	GIGYF1	Gigyf1
939	IL1A	Il1a
940	BRCA2	Brca2
941	SH2B1	Sh2b1
942	ITGA9	Itga9
943	TH	Th
944	TRIP6	Trip6
945	TYW1B	Tyw1
946	PCNA	Pcna
947	FAM171A2	Fam171a2
948	CD7	Cd7
949	OGFR	Ogfr
950	CSE1L	Cse1l
951	TPX2	Tpx2
952	UNC13D	Unc13d
953	SLC38A10	Slc38a10
954	HCAR2	Hcar2
955	ATF3	Atf3
956	MAFK	Mafk
957	SLC22A14	Slc22a14
958	ZNF837	Zfy1
959	ZNF837	Zfy2
960	VASN	Vasn
961	FYB1	Fyb
962	NUDT16L1	Nudt16l1
963	CAMSAP3	Camsap3
964	OSMR	Osmr
965	ACTN2	Actn2
966	C5orf51	AW549877
967	LIFR	Lifr
968	ARID4B	Arid4b
969	IPCEF1	Ipcef1
970	WTAP	Wtap
971	GLCCI1	Glcci1
972	EFNB2	Efnb2
973	PLEKHF2	Plekhf2
974	NID2	Nid2
975	AKAP12	Akap12
976	SOCS1	Socs1
977	CFP	Cfp
978	KCNK5	Kcnk5
979	SDR16C5	Sdr16c5
980	LDHAL6B	Ldhal6b
981	CA13	Car13
982	INHBA	Inhba
983	FOSL1	Fosl1
984	IRS2	Irs2
985	KLF11	Klf11
986	IFITM3	Ifitm7
987	MMP13	Mmp13
988	ASNS	Asns
989	TEX29	Tex29
990	MIR221	Mir221
991	COL4A1	Col4a1
992	ATP6V1C2	Atp6v1c2
993	TAGAP	Tagap1
994	TAGAP	Tagap
995	HIVEP2	Hivep2
996	CERS4	Cers4
997	H1-3	H1f3
998	SFRP4	Sfrp4
999	PRR36	Prr36
1000	ANKRD33B	Ankrd33b
1001	ZBTB10	Zbtb10
1002	MMP1	Mmp1b
1003	MMP1	Mmp1a
1004	MCF2L	Mcf2l
1005	SCGN	Scgn
1006	PEG10	Peg10
1007	TRIM38	Trim38
1008	NPBWR1	Npbwr1
1009	CCR6	Ccr6
1010	STX11	Stx11
1011	SOD2	Sod2
1012	COLEC11	Colec11
1013	SYT12	Syt12
1014	IL7R	Il7r
1015	TFPI2	Tfpi2
1016	ZNF34	Zfp760
1017	ZNF34	Zfp820
1018	ZNF34	Zfp995
1019	ZNF34	Zfp942
